date,BlkCnt,CapMrktCurUSD,TxCnt,AdrActCnt,PriceUSD,Trends,FearGreed
2019-11-27,139.0,136015452003.77501,312560.0,812540.0,7526.86381654004,0.5875,0.2
2019-11-28,163.0,134394712380.75812,316000.0,716192.0,7436.3363817066,0.5454166666666667,0.32
2019-11-29,136.0,140035753824.32825,305085.0,730014.0,7747.73804208066,0.5020833333333333,0.31
2019-11-30,126.0,136585605232.84554,284912.0,683831.0,7556.19372121567,0.47291666666666665,0.38
2019-12-01,139.0,134095575599.21852,268135.0,593329.0,7417.72720601987,0.47,0.25
2019-12-02,145.0,132311649481.68289,318601.0,749060.0,7318.31252180012,0.49666666666666665,0.28
2019-12-03,158.0,132111542796.43445,333969.0,744688.0,7306.44623331385,0.6496,0.28
2019-12-04,167.0,130473486507.8814,332204.0,749562.0,7215.02034482759,0.8016666666666667,0.24
2019-12-05,145.0,133905907021.29042,319133.0,746859.0,7404.0867949737,0.7579166666666667,0.21
2019-12-06,145.0,136272863879.84613,311069.0,748047.0,7534.2083559322,0.73625,0.29
2019-12-07,155.0,135886841741.42656,282629.0,642350.0,7512.06140263004,0.6791666666666667,0.32
2019-12-08,148.0,136206094715.73811,278763.0,587017.0,7528.94026943308,0.63875,0.28
2019-12-09,148.0,132805669774.6542,316995.0,803439.0,7340.22745908825,0.7079166666666667,0.32
2019-12-10,148.0,130862566069.28896,321466.0,803226.0,7232.09178375219,0.6931999999999999,0.26
2019-12-11,132.0,130302159494.60497,288155.0,771631.0,7200.46444599649,0.6758333333333333,0.2
2019-12-12,133.0,130176306232.11562,310072.0,722853.0,7192.84902425482,0.6745833333333333,0.23
2019-12-13,152.0,131132158335.25366,329512.0,746512.0,7244.90372004676,0.6529166666666667,0.22
2019-12-14,151.0,127999800420.60495,291279.0,623464.0,7071.10709029807,0.6425,0.27
2019-12-15,124.0,128738145823.27989,258366.0,657604.0,7111.28666995909,0.6083333333333334,0.21
2019-12-16,157.0,124607959806.08746,330126.0,777556.0,6882.39579532437,0.70125,0.24
2019-12-17,141.0,119669002105.71835,314849.0,875713.0,6608.96197983635,0.7504000000000001,0.23
2019-12-18,134.0,131915496849.08093,318200.0,751472.0,7284.6254836353,0.7125,0.15
2019-12-19,157.0,129422222016.77725,319162.0,725702.0,7146.16763763881,0.66375,0.21
2019-12-20,156.0,130125371827.72862,332107.0,708265.0,7184.21917206312,0.5983333333333334,0.23
2019-12-21,176.0,129345551109.71739,305042.0,610208.0,7140.29801127995,0.5325,0.23
2019-12-22,169.0,135504182500.00662,282133.0,589250.0,7479.40240789012,0.5316666666666666,0.2
2019-12-23,143.0,132661061513.20563,313917.0,727796.0,7321.7487238457,0.62375,0.33
2019-12-24,125.0,131111985464.01056,283750.0,649535.0,7235.62908381064,0.684,0.25
2019-12-25,128.0,130317953564.19281,241535.0,537049.0,7191.17416569258,0.5375,0.22
2019-12-26,167.0,130395775601.22531,302825.0,653003.0,7194.63975832846,0.7654166666666667,0.39
2019-12-27,145.0,131179357399.31564,325259.0,721861.0,7237.15044728229,0.7525,0.38
2019-12-28,149.0,132452581795.07286,291276.0,611206.0,7306.64330829924,0.7333333333333333,0.37
2019-12-29,155.0,134006582388.63812,281440.0,589993.0,7391.578521391,0.7283333333333333,0.37
2019-12-30,166.0,131081294265.51053,326626.0,735877.0,7229.3971006429,0.75,0.4
2019-12-31,145.0,129970082372.67699,289968.0,657164.0,7167.39505464641,0.6248,0.38
2020-01-01,174.0,130044373322.33379,251867.0,524360.0,7170.63186879018,0.3745833333333334,0.37
2020-01-02,141.0,125997729470.88751,291935.0,671016.0,6946.82526914085,0.6154166666666666,0.39
2020-01-03,169.0,132696546617.94122,323153.0,721747.0,7315.3093603156,0.6783333333333332,0.38
2020-01-04,168.0,133217241900.65343,282301.0,611397.0,7343.16419438925,0.61625,0.38
2020-01-05,163.0,133275140628.50085,288212.0,597061.0,7345.53069181765,0.6266666666666666,0.39
2020-01-06,135.0,140913446583.57416,297843.0,724219.0,7765.7977346581,0.7008333333333333,0.41
2020-01-07,176.0,147650387097.9029,347212.0,775757.0,8136.08684190532,0.758,0.4
2020-01-08,142.0,146278447249.11566,318633.0,754553.0,8059.69952887201,0.7758333333333333,0.51
2020-01-09,157.0,141891415486.24527,322838.0,773570.0,7817.13609322034,0.6108333333333333,0.44
2020-01-10,149.0,147582148237.8166,332463.0,792103.0,8129.81791992987,0.58625,0.41
2020-01-11,163.0,145822905688.42953,303555.0,640445.0,8032.00549503215,0.5504166666666667,0.5
2020-01-12,151.0,148244692101.63885,278853.0,581504.0,8164.54999316189,0.5066666666666666,0.45
2020-01-13,143.0,147485275164.18646,299786.0,705443.0,8121.92566762127,0.5333333333333333,0.49
2020-01-14,145.0,160362182649.78302,346978.0,850757.0,8830.16787346581,0.68,0.56
2020-01-15,151.0,160038851605.64972,328833.0,759192.0,8811.44820251315,0.64875,0.54
2020-01-16,159.0,158371394895.92358,326587.0,739283.0,8718.68699801286,0.5466666666666666,0.55
2020-01-17,159.0,161910403912.36758,323884.0,756728.0,8912.54190414962,0.5579166666666666,0.54
2020-01-18,132.0,162209239871.51685,290970.0,649187.0,8928.1807565751,0.5154166666666666,0.51
2020-01-19,150.0,157850148001.62515,282105.0,622774.0,8687.35483664524,0.5595833333333333,0.53
2020-01-20,152.0,156938136300.68027,312967.0,741539.0,8636.2587862069,0.5229166666666667,0.48
2020-01-21,153.0,158674065182.0027,311835.0,756250.0,8730.86756019871,0.6424,0.49
2020-01-22,156.0,157183091622.76913,326380.0,771727.0,8647.90047399182,0.7095833333333332,0.52
2020-01-23,159.0,152082924891.57297,337280.0,789764.0,8366.38461396844,0.71125,0.49
2020-01-24,152.0,153135182382.82776,311823.0,720051.0,8423.39095815313,0.68375,0.4
2020-01-25,164.0,151723062490.33078,283292.0,665971.0,8344.77456896552,0.62625,0.41
2020-01-26,143.0,155903844151.00034,256739.0,544915.0,8573.87480958504,0.59625,0.42
2020-01-27,129.0,161883952905.7292,285400.0,726725.0,8901.95928486265,0.71,0.5
2020-01-28,142.0,169091413723.46133,339784.0,812560.0,9297.3883176505,0.7716,0.54
2020-01-29,160.0,169374825966.0464,340075.0,767507.0,9311.94754354179,0.75375,0.57
2020-01-30,156.0,172976113948.8801,332584.0,765495.0,9508.92096493279,0.7404166666666667,0.57
2020-01-31,144.0,170234553906.81723,329369.0,762130.0,9357.28478240795,0.69875,0.55
2020-02-01,151.0,170699826042.57834,304884.0,743933.0,9381.88602863822,0.6191666666666666,0.57
2020-02-02,143.0,169943267782.81882,292383.0,706042.0,9339.38706312098,0.6216666666666666,0.57
2020-02-03,148.0,168876392941.6707,336226.0,879860.0,9279.81252051432,0.6483333333333333,0.59
2020-02-04,132.0,166740743006.20746,307816.0,764885.0,9161.62719772063,0.6452,0.56
2020-02-05,159.0,175250308848.13208,363153.0,823713.0,9628.13677586207,0.6820833333333333,0.53
2020-02-06,135.0,177289768826.43756,321928.0,765225.0,9739.2804364699,0.7208333333333333,0.61
2020-02-07,139.0,178417196310.33414,333319.0,865396.0,9800.27939982466,0.6908333333333333,0.56
2020-02-08,139.0,180455462436.1386,315526.0,709380.0,9911.29340841613,0.6504166666666668,0.56
2020-02-09,153.0,184840742312.64767,318974.0,695691.0,10151.0832026885,0.8504166666666667,0.56
2020-02-10,122.0,179780570081.514,295461.0,703356.0,9872.36187305669,0.7516666666666667,0.57
2020-02-11,148.0,187081233587.23752,361869.0,885934.0,10272.2225558738,0.7556,0.52
2020-02-12,142.0,188700718413.703,350973.0,822547.0,10360.1352229106,0.8495833333333332,0.61
2020-02-13,141.0,186448589139.1426,336765.0,815808.0,10235.4973226184,0.7791666666666667,0.65
2020-02-14,135.0,188763431392.39105,329123.0,741471.0,10361.6156901812,0.6870833333333333,0.63
2020-02-15,142.0,180585098507.1185,316931.0,736640.0,9911.72432700175,0.66875,0.64
2020-02-16,142.0,181337408895.616,299527.0,655188.0,9952.04661157218,0.6570833333333332,0.59
2020-02-17,157.0,176455532970.77463,337935.0,773751.0,9683.0796277031,0.6858333333333333,0.49
2020-02-18,150.0,185808950969.89786,327054.0,783570.0,10195.3037904734,0.6592,0.53
2020-02-19,141.0,175632690004.1369,340104.0,792783.0,9636.00229865576,0.6658333333333333,0.5
2020-02-20,126.0,175247351456.8183,311982.0,766448.0,9614.03012244302,0.6566666666666667,0.44
2020-02-21,154.0,176865876880.39227,341390.0,768521.0,9701.79750268849,0.5991666666666666,0.44
2020-02-22,148.0,176399792167.0473,300166.0,660812.0,9675.24905756868,0.52375,0.43
2020-02-23,142.0,181843236236.8033,289114.0,622397.0,9972.84242308591,0.5375,0.46
2020-02-24,141.0,175937259068.28143,328045.0,758122.0,9648.00788310929,0.285,0.46
2020-02-25,144.0,170415547339.4431,339313.0,743278.0,9344.28714009351,0.0,0.44
2020-02-26,136.0,160483857843.05478,328537.0,778003.0,8798.88894856809,,0.41
2020-02-27,147.0,160137770415.14587,338194.0,777389.0,8779.02948188194,,0.39
2020-02-28,158.0,159636352746.77158,361653.0,778213.0,8750.59344599649,,0.4
2020-02-29,139.0,156577275161.49323,309086.0,679597.0,8582.09029964933,,0.38
