"","date","finndex_c","finndex_c_n"
"1",2019-11-27,225047.9575,0.716822167738005
"2",2019-11-28,206471.173083333,0.657651442426461
"3",2019-11-29,207047.162416667,0.659486082149925
"4",2019-11-30,193773.970583333,0.617208346113274
"5",2019-12-01,172320.744,0.548875584708676
"6",2019-12-02,213561.355333333,0.680235072451641
"7",2019-12-03,215763.18592,0.687248337498165
"8",2019-12-04,216386.808333333,0.68923469798391
"9",2019-12-05,213227.593583333,0.679171975395348
"10",2019-12-06,211852.40525,0.674791729099854
"11",2019-12-07,185026.999833333,0.589347517675603
"12",2019-12-08,173185.78375,0.551630907066021
"13",2019-12-09,224116.605583333,0.713855628040208
"14",2019-12-10,224968.19064,0.716568094543411
"15",2019-12-11,211983.775166667,0.675210168216061
"16",2019-12-12,206611.780916667,0.65809930613076
"17",2019-12-13,215235.374583333,0.685567154204128
"18",2019-12-14,182978.9825,0.582824178202748
"19",2019-12-15,183218.963666667,0.583588565589407
"20",2019-12-16,221567.98825,0.705737778751953
"21",2019-12-17,238140.79608,0.758525443062152
"22",2019-12-18,213961.3725,0.681509206088435
"23",2019-12-19,209004.37475,0.665720189773424
"24",2019-12-20,208105.765666667,0.66285794246303
"25",2019-12-21,183085.3525,0.58316298764954
"26",2019-12-22,174310.546333333,0.555213497915243
"27",2019-12-23,208371.39075,0.663704010786225
"28",2019-12-24,186682.1868,0.594619614888294
"29",2019-12-25,155742.5515,0.496070769161626
"30",2019-12-26,191199.231083333,0.609007292567829
"31",2019-12-27,209453.2265,0.667149871197784
"32",2019-12-28,180526.420666667,0.575012284642766
"33",2019-12-29,174317.819666667,0.555236664917622
"34",2019-12-30,212534.03,0.676962838477191
"35",2019-12-31,189455.60096,0.603453486443012
"36",2020-01-01,155280.348916667,0.494598562697726
"37",2020-01-02,192618.601083333,0.613528266192849
"38",2020-01-03,209014.011666667,0.665750885255276
"39",2020-01-04,178773.39925,0.569428565394898
"40",2020-01-05,177087.403333333,0.564058335594956
"41",2020-01-06,204439.622166667,0.65118055174106
"42",2020-01-07,224629.2316,0.715488443092555
"43",2020-01-08,214665.857166667,0.683753128812764
"44",2020-01-09,219313.210166667,0.698555865477032
"45",2020-01-10,224943.19925,0.716488492033113
"46",2020-01-11,188832.810083333,0.60146977456569
"47",2020-01-12,172101.791333333,0.548178177245416
"48",2020-01-13,201074.604666667,0.640462306769536
"49",2020-01-14,239576.248,0.763097640776846
"50",2020-01-15,217635.43775,0.693211829147859
"51",2020-01-16,213206.019333333,0.679103257150472
"52",2020-01-17,216154.419583333,0.688494493943031
"53",2020-01-18,188058.005083333,0.599001867698887
"54",2020-01-19,181006.017916667,0.576539896553601
"55",2020-01-20,210931.800583333,0.671859421514748
"56",2020-01-21,213647.82648,0.680510500122654
"57",2020-01-22,219652.845916667,0.699637672382817
"58",2020-01-23,225440.84025,0.718073576849425
"59",2020-01-24,206405.41675,0.657441995524893
"60",2020-01-25,189885.60725,0.604823141357293
"61",2020-01-26,160359.60325,0.51077699036336
"62",2020-01-27,202451.042,0.644846531376575
"63",2020-01-28,230497.46232,0.734179916288872
"64",2020-01-29,221548.66475,0.705676229590111
"65",2020-01-30,219647.262083333,0.699619886771435
"66",2020-01-31,218328.84975,0.695420483243178
"67",2020-02-01,209793.837833333,0.66823478552906
"68",2020-02-02,199713.838333333,0.636127997390856
"69",2020-02-03,243247.047666667,0.774789862308748
"70",2020-02-04,214566.84104,0.683437742904149
"71",2020-02-05,237405.242416667,0.756182559450608
"72",2020-02-06,217457.866166667,0.69264622860339
"73",2020-02-07,239771.050166667,0.763718124130444
"74",2020-02-08,205009.242083333,0.652994903615157
"75",2020-02-09,202963.882083333,0.646480028273511
"76",2020-02-10,199788.064333333,0.636364421852618
"77",2020-02-11,249590.45512,0.794994867197734
"78",2020-02-12,234732.691916667,0.747669958562865
"79",2020-02-13,230543.085833333,0.734325236184643
"80",2020-02-14,214146.063416667,0.682097483114884
"81",2020-02-15,210742.86175,0.671257614035203
"82",2020-02-16,190971.649416667,0.608282400036256
"83",2020-02-17,222368.835166667,0.708288634263855
"84",2020-02-18,222155.03784,0.707607647576128
"85",2020-02-19,226605.833166667,0.721784309251537
"86",2020-02-20,215711.419333333,0.687083450701221
"87",2020-02-21,222013.207833333,0.707155891008512
"88",2020-02-22,192225.39075,0.61227581366385
"89",2020-02-23,182330.7995,0.580759587400359
"90",2020-02-24,217261.749,0.692021556715219
"91",2020-02-25,216547.088,0.689745220360476
"92",2020-02-26,276669.1025,0.881245704263627
"93",2020-02-27,278932.5975,0.888455382638798
"94",2020-02-28,285006.1,0.907800686973818
"95",2020-02-29,247205.595,0.787398616958625
"96",2020-03-01,246775.8475,0.786029786341577
"97",2020-03-02,292838.595,0.932748729635779
"98",2020-03-03,296923.345,0.94575946469063
"99",2020-03-04,302023.35,0.962003987325654
"100",2020-03-05,285951.3525,0.910811502773423
"101",2020-03-06,285964.5975,0.910853690712906
"102",2020-03-07,249092.845,0.793409880740317
"103",2020-03-08,239900.8325,0.764131506480356
"104",2020-03-09,289337.7925,0.921597982636119
"105",2020-03-10,284354.54,0.90572533975983
"106",2020-03-11,254823.0425,0.811661690884015
"107",2020-03-12,313952.285,1
"108",2020-03-13,266549.025,0.84901125978427
"109",2020-03-14,262231.52,0.835259154109995
"110",2020-03-15,213580.28,0.680295351250589
"111",2020-03-16,248706.5225,0.792179367320101
"112",2020-03-17,208975.512,0.665628256217342
"113",2020-03-18,173337.175583333,0.552113119939017
"114",2020-03-19,195087.388333333,0.621391840907714
